SNO,DATE,PARTICULAR,AMT
1,14/09/2023,VI(HS1189),7000
2,14/09/2023,VI(AK1189),7000
3,14/09/2023,VI(AK1189),7000
4,14/09/2023,KAFALA(0716),5000
